NOMBRE_PROYECTO,ETAPA,FEC_OPCION,FECHA_DESISTIMIENTO,Entidad Financiera compra,MEDIO,VLR_VIVIENDA,PERIODO,PERIODO_AFILIADO,SEGMENTO_POBLACIONAL,CATEGORIA,RANGO_EDAD,NO_GRUPO_FAMILAR,NO_BENEFICIARIOS_CUOTA_MONETARIA,PIRAMIDE_NUEVA,EMPRESA_FOCO
Versalles,ETAPA 1,4/23/2025,No,Colsubsidio,Banderas y/o señalización,"2,171,000,000,000",2025-4,2025-4,NU,OMEGA,20 a 35 años,,,GAMMA,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,4/8/2025,No,Banco,Página web ,"2,360,000,000,000",2025-4,2025-4,SIGMA,ETA,36 a 45 años,2,,RHO,X
La Arboleda,ETAPA 2,2/22/2026,No,Banco,Banderas y/o señalización,"1,799,304,000,000",2026-2,2026-2,SIGMA,OMEGA,46 a 55 años,,,RHO,
Agrupación De Vivienda Monguí,,2/19/2026,Si,Colsubsidio,Sin Informacion,"1,794,678,000,000",2026-2,2026-2,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupacion De Vivienda Payande,,10/5/2024,Si,Colsubsidio,Sin Informacion,"1,634,178,000,000",2024-10,2024-10,KAPPA,OMEGA,36 - 45 años,1,,GAMMA,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,2/9/2026,No,Banco,Página web ,"2,360,000,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,2,2,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,2/23/2026,No,Colsubsidio,Banderas y/o señalización,"1,794,678,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,3,2,GAMMA,
VILLA MERCEDES EL DORADO,ETAPA 1,2/19/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,SIGMA,OMEGA,20 a 35 años,2,2,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,2/21/2026,No,Banco,Banderas y/o señalización,"1,584,569,000,000",2026-2,2026-2,SIGMA,OMEGA,20 a 35 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,2/21/2026,No,Colsubsidio,Activación,"1,785,923,000,000",2026-2,2026-2,KAPPA,OMEGA,46 a 55 años,3,3,TAU,
Versalles,ETAPA 1,7/5/2026,No,Banco,Banderas y/o señalización,"1,987,000,000,000",2026-7,2026-6,KAPPA,OMEGA,46 a 55 años,2,1,NU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,2/8/2024,No,Banco,Banderas y/o señalización,"1,912,300,000,000",2024-2,2024-2,NU,OMEGA,20 - 35 años,,,ZETA,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,1/5/2025,No,Banco,Banderas y/o señalización,"1,913,611,050,000",2025-1,2025-1,NU,OMEGA,20 - 35 años,,,RHO,X
Proyecto Karakalí,ETAPA 1,5/27/2024,No,Colsubsidio,Banderas y/o señalización,"2,451,267,000,000",2024-5,2024-5,NU,OMEGA,20 - 35 años,,,RHO,X
La Arboleda,ETAPA 1,5/22/2024,No,Colsubsidio,Banderas y/o señalización,"1,734,200,000,000",2024-5,2024-5,KAPPA,OMEGA,20 - 35 años,1,1,ALPHA,
Agrupación De Vivienda La Macarena,ETAPA 3,5/11/2024,No,Banco,Ferias empresariales,"1,368,900,000,000",2024-5,2024-5,KAPPA,OMEGA,Mayor de 55 años,2,2,RHO,X
Agrupacion De Vivienda Payande,ETAPA 1,12/7/2024,No,Banco,Página web ,"1,921,725,000,000",2024-12,2024-12,NU,ETA,20 - 35 años,,,RHO,X
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,1/10/2025,No,Banco,Banderas y/o señalización,"1,913,611,050,000",2025-1,2025-1,NU,OMEGA,20 - 35 años,,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,12/3/2024,No,Banco,Referido,"2,360,000,000,000",2024-12,2024-12,SIGMA,OMEGA,20 - 35 años,1,,TAU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,3/3/2026,No,Banco,Ferias empresariales,"2,360,000,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,ALPHA,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Banco,Activación,"1,567,060,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,1,1,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,3/13/2026,No,Colsubsidio,Banderas y/o señalización,"1,785,923,000,000",2026-3,2026-3,KAPPA,OMEGA,Menor de 19 años,,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,6/10/2026,No,Banco,Banderas y/o señalización,"2,360,000,000,000",2026-6,2026-6,SIGMA,OMEGA,36 a 45 años,1,1,NU,
Agrupación De Vivienda Monguí,ETAPA 1,3/15/2026,No,Banco,Banderas y/o señalización,"1,584,569,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,6/17/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-6,2026-6,KAPPA,ETA,20 a 35 años,1,,IOTA,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Banco,Activación,"1,777,169,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,12/13/2025,No,Banco,Redes Sociales,"1,979,590,000,000",2025-12,2025-12,NU,OMEGA,20 a 35 años,,,TAU,
La Arboleda,ETAPA 1,3/27/2024,No,Colsubsidio,Whatsapp,"1,618,500,000,000",2024-3,2024-3,NU,OMEGA,20 - 35 años,,,GAMMA,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,3/20/2024,No,Banco,Banderas y/o señalización,"1,912,300,000,000",2024-3,2024-3,SIGMA,ETA,46 - 55 años,6,1,TAU,
VILLA FIORITA,ETAPA 1,3/6/2024,No,Colsubsidio,Valla ,"1,950,000,000,000",2024-3,2024-3,KAPPA,OMEGA,20 - 35 años,,,TAU,
La Arboleda,ETAPA 3,4/26/2026,No,Colsubsidio,Ferias empresariales,"2,233,450,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,1,1,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/29/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,SIGMA,OMEGA,20 a 35 años,1,1,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 1,4/4/2026,No,Colsubsidio,Banderas y/o señalización,"1,794,678,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,1,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/25/2026,No,Colsubsidio,Banderas y/o señalización,"1,961,014,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/29/2026,No,Colsubsidio,Banderas y/o señalización,"1,952,259,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,3,2,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/26/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 3,4/24/2026,No,Colsubsidio,Activación,"1,575,815,000,000",2026-4,2026-4,KAPPA,ETA,46 a 55 años,1,,IOTA,
VERDE ESPERANZA EL DORADO,ETAPA 1,4/28/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,3,2,TAU,
Agrupacion De Vivienda Payande,,9/30/2025,Si,Banco,Sin Informacion,"2,052,060,000,000",2025-9,2025-9,NU,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 5,7/31/2024,No,Colsubsidio,Contact Center,"2,293,000,000,000",2024-7,2024-7,SIGMA,OMEGA,36 - 45 años,1,1,RHO,X
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Banco,Banderas y/o señalización,"1,961,014,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,4,3,NU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/23/2025,No,Banco,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,36 a 45 años,4,4,ZETA,
Agrupación De Vivienda Monguí,ETAPA 2,9/20/2025,No,Colsubsidio,Referido,"1,786,492,500,000",2025-9,2025-9,NU,ETA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,9/22/2025,No,Banco,Banderas y/o señalización,"1,631,331,000,000",2025-9,2025-9,SIGMA,OMEGA,Mayor de 55 años,,,NU,
Agrupación De Vivienda La Macarena,ETAPA 3,4/24/2026,No,Banco,Banderas y/o señalización,"1,610,815,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,3,3,ZETA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,4/26/2026,No,Banco,Banderas y/o señalización,"2,261,000,000,000",2026-4,2026-4,KAPPA,OMEGA,46 a 55 años,1,1,TAU,
Agrupación De Vivienda La Macarena,3,7/26/2024,Si,Banco,Sin Informacion,"1,533,109,500,000",2024-7,2024-7,KAPPA,OMEGA,20 - 35 años,3,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 1,9/20/2025,No,Banco,Referido,"1,619,943,000,000",2025-9,2025-9,SIGMA,OMEGA,36 a 45 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/23/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,NU,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,3/24/2025,No,Colsubsidio,Ferias empresariales,"1,894,678,500,000",2025-3,2025-3,SIGMA,OMEGA,36 a 45 años,2,1,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/24/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,SIGMA,OMEGA,36 a 45 años,2,1,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 4,3/15/2025,No,Banco,Activación,"2,361,000,000,000",2025-3,2025-3,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/23/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,46 a 55 años,2,2,TAU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,1/25/2026,No,Banco,Redes Sociales,"2,360,000,000,000",2026-1,2026-1,NU,ETA,20 a 35 años,,,RHO,X
VERDE ESPERANZA EL DORADO,ETAPA 1,11/7/2025,No,Colsubsidio,Banderas y/o señalización,"1,618,000,000,000",2025-11,2025-11,KAPPA,OMEGA,20 a 35 años,2,,RHO,X
La Arboleda,ETAPA 1,8/30/2024,No,Banco,Activación,"1,734,200,000,000",2024-8,2024-8,NU,OMEGA,20 - 35 años,,,RHO,X
Agrupación De Vivienda Monguí,,1/26/2024,Si,Banco,Sin Informacion,"1,969,000,000,000",2024-1,2024-1,KAPPA,OMEGA,Mayor de 55 años,3,2,ALPHA,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,1/26/2024,No,Colsubsidio,Banderas y/o señalización,"1,773,200,000,000",2024-1,2024-1,KAPPA,OMEGA,36 - 45 años,5,,RHO,
Agrupacion De Vivienda Bosque De Arrayan,,1/22/2024,Si,Colsubsidio,Sin Informacion,"1,773,200,000,000",2024-1,2024-1,KAPPA,OMEGA,20 - 35 años,3,2,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,1/19/2024,No,Banco,Whatsapp,"1,914,607,500,000",2024-1,2024-1,SIGMA,ETA,20 - 35 años,4,2,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,11/26/2025,No,Banco,Whatsapp,"2,360,000,000,000",2025-11,2025-11,KAPPA,OMEGA,36 a 45 años,1,,GAMMA,
Agrupación De Vivienda La Macarena,3,1/31/2024,Si,Colsubsidio,Sin Informacion,"1,487,200,000,000",2024-1,2024-1,SIGMA,OMEGA,20 - 35 años,2,1,NU,
INARI,ETAPA 1,1/26/2024,No,Banco,Google,"2,808,000,000,000",2024-1,2024-1,SIGMA,TAU,36 - 45 años,4,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,1/6/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-1,2026-1,KAPPA,OMEGA,46 a 55 años,2,1,NU,
INARI,ETAPA 1,1/24/2024,No,Banco,Banderas y/o señalización,"2,916,000,000,000",2024-1,2024-1,KAPPA,OMEGA,20 - 35 años,,,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,1/25/2024,No,Colsubsidio,Banderas y/o señalización,"1,935,700,000,000",2024-1,2024-1,KAPPA,OMEGA,20 - 35 años,2,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 3,1/17/2024,No,Banco,Banderas y/o señalización,"1,489,800,000,000",2024-1,2024-1,KAPPA,OMEGA,20 - 35 años,,,TAU,
Zarzal,ETAPA 1,5/29/2026,No,Banco,Banderas y/o señalización,"2,267,000,000,000",2026-5,2026-5,KAPPA,OMEGA,20 a 35 años,,,ALPHA,
Agrupación De Vivienda La Macarena,3,6/14/2025,Si,Colsubsidio,Sin Informacion,"1,497,024,000,000",2025-6,2025-6,NU,OMEGA,20 a 35 años,,,RHO,
VILLA FIORITA,ETAPA 3,6/14/2025,No,Colsubsidio,Activación,"2,135,250,000,000",2025-6,2025-6,NU,ETA,20 a 35 años,,,RHO,X
VILLA FIORITA,ETAPA 3,6/26/2025,No,Colsubsidio,Ferias empresariales,"2,135,250,000,000",2025-6,2025-6,SIGMA,ETA,20 a 35 años,2,2,RHO,X
Agrupación De Vivienda Pamplona I,ETAPA 2,6/18/2024,No,Banco,CS Calle 26,"1,950,195,000,000",2024-6,2024-6,NU,OMEGA,20 - 35 años,,,GAMMA,
Los Nogales,ETAPA 1,2/10/2024,No,Banco,Ferias empresariales,"5,254,900,000,000",2024-2,2024-2,SIGMA,TAU,36 - 45 años,,,GAMMA,X
Agrupación De Vivienda La Macarena,ETAPA 3,5/31/2024,No,Colsubsidio,Referido,"1,362,400,000,000",2024-5,2024-5,KAPPA,OMEGA,36 - 45 años,1,,RHO,X
Los Nogales,ETAPA 1,2/11/2024,No,Banco,Valla ,"5,348,840,000,000",2024-2,2024-2,SIGMA,TAU,36 - 45 años,4,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 1,2/8/2024,No,Colsubsidio,Banderas y/o señalización,"1,564,700,000,000",2024-2,2024-2,KAPPA,OMEGA,20 - 35 años,3,2,RHO,
Agrupación De Vivienda La Macarena,ETAPA 3,1/28/2025,No,Banco,Banderas y/o señalización,"1,537,380,000,000",2025-1,2025-1,KAPPA,OMEGA,20 - 35 años,1,1,GAMMA,
INARI,ETAPA 1,12/27/2024,No,Banco,Banderas y/o señalización,"2,808,000,000,000",2024-12,2024-12,SIGMA,OMEGA,20 - 35 años,1,1,RHO,X
Los Nogales,ETAPA 1,5/24/2024,No,Banco,Valla ,"5,657,420,000,000",2024-5,2024-5,SIGMA,TAU,Mayor de 55 años,1,,RHO,
INARI,1,5/20/2024,Si,Banco,Sin Informacion,"2,916,000,000,000",2024-5,2024-5,SIGMA,ETA,36 - 45 años,2,2,RHO,
Los Nogales,ETAPA 1,2/9/2024,No,Contado,Ferias empresariales,"6,674,000,000,000",2024-2,2024-2,IOTA,TAU,Mayor de 55 años,2,,NU,
Agrupación De Vivienda Pamplona I,ETAPA 1,5/31/2024,No,Colsubsidio,Banderas y/o señalización,"2,064,075,000,000",2024-5,2024-5,KAPPA,OMEGA,20 - 35 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 1,1/25/2025,No,Banco,Banderas y/o señalización,"1,735,246,500,000",2025-1,2025-1,KAPPA,OMEGA,20 - 35 años,2,2,TAU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,1/12/2025,No,Banco,Whatsapp,"2,360,000,000,000",2025-1,2025-1,SIGMA,ETA,20 - 35 años,2,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 3,3/15/2026,No,Banco,Banderas y/o señalización,"1,438,269,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 4,3/23/2026,No,Colsubsidio,Banderas y/o señalización,"1,479,515,000,000",2026-3,2026-3,KAPPA,OMEGA,36 a 45 años,,,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,3/4/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-3,2026-3,SIGMA,OMEGA,46 a 55 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,12/19/2025,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2025-12,2025-12,NU,ETA,20 a 35 años,,,RHO,X
La Arboleda,ETAPA 3,12/30/2025,No,Banco,Whatsapp,"2,264,970,000,000",2025-12,2025-12,NU,OMEGA,20 a 35 años,,,NU,
Agrupación De Vivienda Pamplona I,,3/16/2024,Si,Colsubsidio,Sin Informacion,"1,932,000,000,000",2024-3,2024-3,SIGMA,OMEGA,20 - 35 años,2,,ALPHA,
INARI,ETAPA 1,3/26/2024,No,Colsubsidio,Referido,"2,916,000,000,000",2024-3,2024-3,KAPPA,OMEGA,20 - 35 años,3,3,GAMMA,X
Agrupación De Vivienda Monguí,,3/10/2024,Si,Colsubsidio,Sin Informacion,"1,779,375,000,000",2024-3,2024-3,NU,OMEGA,20 - 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 1,3/9/2024,No,Banco,Banderas y/o señalización,"1,622,400,000,000",2024-3,2024-3,NU,OMEGA,20 - 35 años,,,ZETA,
Agrupacion De Vivienda Payande,ETAPA 1,3/29/2024,No,Banco,Valla ,"1,755,000,000,000",2024-3,2024-3,NU,ETA,20 - 35 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 2,3/26/2024,No,Banco,Banderas y/o señalización,"1,392,183,000,000",2024-3,2024-3,KAPPA,OMEGA,36 - 45 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"1,952,259,000,000",2026-4,2026-4,SIGMA,OMEGA,36 a 45 años,5,5,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 4,4/10/2026,No,Colsubsidio,Banderas y/o señalización,"1,584,569,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,NU,
INARI,ETAPA 1,4/25/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-4,2026-4,SIGMA,OMEGA,20 a 35 años,1,1,RHO,
INARI,ETAPA 1,4/19/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
INARI,ETAPA 1,4/27/2026,No,Colsubsidio,Activación,"2,808,000,000,000",2026-4,2026-4,SIGMA,OMEGA,20 a 35 años,1,1,NU,
Agrupación De Vivienda Pamplona I,ETAPA 4,3/14/2026,No,Banco,Activación,"2,480,000,000,000",2026-3,2026-3,KAPPA,OMEGA,Mayor de 55 años,3,1,NU,
Agrupacion De Vivienda Payande,ETAPA 1,6/30/2026,No,Banco,Redes Sociales,"1,892,730,950,000",2026-6,2026-6,SIGMA,OMEGA,36 a 45 años,1,1,NU,
Agrupación De Vivienda Monguí,ETAPA 1,3/15/2026,No,Colsubsidio,Banderas y/o señalización,"1,777,169,000,000",2026-3,2026-3,KAPPA,OMEGA,46 a 55 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,3/15/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,SIGMA,OMEGA,46 a 55 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Colsubsidio,Banderas y/o señalización,"1,969,768,000,000",2026-3,2026-3,SIGMA,ETA,36 a 45 años,2,1,ZETA,
Agrupación De Vivienda Monguí,ETAPA 2,3/1/2026,No,Colsubsidio,Activación,"1,961,014,000,000",2026-3,2026-3,NU,OMEGA,20 a 35 años,,,ZETA,
Agrupación De Vivienda Monguí,ETAPA 2,3/15/2026,No,Banco,Activación,"1,567,060,000,000",2026-3,2026-3,KAPPA,OMEGA,46 a 55 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,12/1/2025,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2025-12,2025-12,KAPPA,OMEGA,36 a 45 años,3,2,ZETA,
ARAUCARIA,ETAPA 1,12/22/2025,No,Banco,Activación,"6,312,000,000,000",2025-12,2025-12,NU,TAU,20 a 35 años,,,RHO,X
Agrupación De Vivienda Monguí,,3/22/2024,Si,Colsubsidio,Sin Informacion,"1,776,528,000,000",2024-3,2024-3,SIGMA,OMEGA,36 - 45 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,3/24/2024,No,Banco,Redes Sociales,"1,776,528,000,000",2024-3,2024-3,KAPPA,OMEGA,20 - 35 años,2,1,NU,
Agrupación De Vivienda Monguí,ETAPA 3,4/24/2026,No,Banco,Activación,"1,567,060,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,ALPHA,
Agrupación De Vivienda Monguí,ETAPA 3,4/25/2026,No,Banco,Activación,"1,961,014,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,2,2,RHO,X
INARI,ETAPA 1,8/24/2025,No,Colsubsidio,Activación,"2,506,000,000,000",2025-8,2025-8,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/25/2026,No,Colsubsidio,Activación,"1,575,815,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,RHO,X
INARI,ETAPA 1,4/25/2026,No,Colsubsidio,Banderas y/o señalización,"2,916,000,000,000",2026-4,2026-4,SIGMA,OMEGA,20 a 35 años,1,,NU,
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Banco,Activación,"1,969,768,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,NU,
Agrupación De Vivienda Monguí,ETAPA 3,4/24/2026,No,Colsubsidio,Activación,"1,794,678,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,ZETA,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/23/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,SIGMA,OMEGA,20 a 35 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,9/20/2025,No,Banco,Banderas y/o señalización,"2,311,190,000,000",2025-9,2025-9,NU,OMEGA,20 a 35 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/29/2025,No,Banco,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,,,TAU,
Agrupacion De Vivienda Fuentevida,ETAPA 2,11/23/2024,No,Banco,Referido Alcaldía,"1,170,000,000,000",2024-11,2024-11,KAPPA,OMEGA,20 - 35 años,,,GAMMA,
La Arboleda,ETAPA 3,4/26/2026,No,Banco,Banderas y/o señalización,"2,233,450,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,GAMMA,X
VERDE ESPERANZA EL DORADO,ETAPA 1,9/29/2025,No,Banco,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,36 a 45 años,2,2,GAMMA,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,4/25/2026,No,Banco,Ferias empresariales,"2,532,490,950,000",2026-4,2026-4,NU,ETA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 4,8/4/2025,No,Colsubsidio,Banderas y/o señalización,"1,763,000,000,000",2025-8,2025-8,SIGMA,OMEGA,36 a 45 años,1,1,GAMMA,
Agrupación De Vivienda Monguí,,7/19/2024,Si,Colsubsidio,Sin Informacion,"1,777,951,500,000",2024-7,2024-7,KAPPA,OMEGA,20 - 35 años,5,4,GAMMA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,11/8/2024,No,Colsubsidio,Banderas y/o señalización,"2,311,190,000,000",2024-11,2024-11,KAPPA,OMEGA,36 - 45 años,,,NU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/21/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,1,1,GAMMA,
Agrupación De Vivienda Pamplona I,ETAPA 1,4/27/2026,No,Colsubsidio,Banderas y/o señalización,"2,100,000,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,2,2,GAMMA,
INARI,ETAPA 1,4/26/2026,No,Colsubsidio,Activación,"2,808,000,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,1,1,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/24/2026,No,Colsubsidio,Activación,"1,794,678,000,000",2026-4,2026-4,KAPPA,OMEGA,46 a 55 años,3,2,ZETA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,11/24/2024,No,Colsubsidio,Banderas y/o señalización,"2,311,000,000,000",2024-11,2024-11,KAPPA,OMEGA,36 - 45 años,3,,TAU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,4/26/2026,No,Banco,Ferias empresariales,"2,360,000,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,9/20/2025,No,Banco,Redes Sociales,"2,550,000,000,000",2025-9,2025-9,KAPPA,OMEGA,46 a 55 años,1,1,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 2,7/31/2024,No,Banco,Banderas y/o señalización,"1,950,195,000,000",2024-7,2024-7,SIGMA,OMEGA,36 - 45 años,,,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,4/26/2026,No,Banco,Banderas y/o señalización,"2,261,000,000,000",2026-4,2026-4,KAPPA,OMEGA,46 a 55 años,1,1,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,1/29/2026,No,Colsubsidio,Visita empresarial,"1,488,269,000,000",2026-1,2026-1,KAPPA,OMEGA,20 a 35 años,1,1,RHO,X
Los Nogales,2,7/28/2025,Si,Banco,Sin Informacion,"7,389,480,000,000",2025-7,2025-7,SIGMA,TAU,36 a 45 años,,,RHO,X
Agrupación De Vivienda Pamplona I,ETAPA 5,11/30/2025,No,Banco,Referido,"2,240,000,000,000",2025-11,2025-11,KAPPA,OMEGA,36 a 45 años,3,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,7/4/2025,No,Banco,Referido,"1,773,681,000,000",2025-7,2025-7,NU,OMEGA,20 a 35 años,,,NU,
VERDE ESPERANZA EL DORADO,ETAPA 1,1/29/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-1,2026-1,KAPPA,OMEGA,46 a 55 años,1,1,TAU,
Agrupacion De Vivienda Payande,ETAPA 3,8/14/2024,No,Banco,Ferias empresariales,"1,755,000,000,000",2024-8,2024-8,SIGMA,OMEGA,20 - 35 años,6,5,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,1/28/2026,No,Banco,Banderas y/o señalización,"1,979,590,000,000",2026-1,2026-1,KAPPA,OMEGA,20 a 35 años,1,1,GAMMA,
